name,essround,edition,proddate,idno,cntry,dweight,pspwght,pweight,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,vote,sclmeet,sclact,hhmmb,gndr,yrbrn,agea,eisced,edulvlb,crpdwk,hincfel,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun
ESS9e03_1,9,3.1,17.02.2021,56345,DE,0.9994662404060364,1.2786234617233276,3.0373449325561523,3,5,4,0,0,3,3,3,4,2,2,2,1995,23,3,321,2,2,2,6,1,1,4,4,6,3,2,1,1,3,5,3,1,5,6,1,1,6,1
ESS9e03_1,9,3.1,17.02.2021,56367,DE,0.9994662404060364,0.7780817151069641,3.0373449325561523,5,3,7,5,3,3,6,1,6,4,1,2,1951,67,7,720,2,2,1,6,1,2,1,1,1,1,1,4,1,4,4,4,4,1,5,1,1,5,5
ESS9e03_1,9,3.1,17.02.2021,56394,DE,0.9994662404060364,0.9847161769866943,3.0373449325561523,7,9,9,4,6,7,5,1,5,3,3,1,1993,26,3,322,2,1,4,1,2,2,2,4,2,1,5,2,2,2,1,2,3,3,2,2,3,6,3
ESS9e03_1,9,3.1,17.02.2021,56415,DE,0.9994662404060364,0.7760168313980103,3.0373449325561523,7,8,9,6,7,8,9,1,3,2,4,1,1984,35,7,710,6,2,2,3,3,2,2,3,2,2,3,3,3,1,1,2,4,2,2,1,1,2,4
ESS9e03_1,9,3.1,17.02.2021,56430,DE,0.9994662404060364,0.8540229201316833,3.0373449325561523,7,5,5,3,3,5,5,1,2,2,2,2,1957,61,3,322,2,1,2,6,1,5,3,4,5,2,2,2,1,2,3,2,5,2,5,1,1,2,2
ESS9e03_1,9,3.1,17.02.2021,56440,DE,0.9994662404060364,0.7334275245666504,3.0373449325561523,5,7,8,4,3,88,3,1,3,2,3,2,1970,49,7,720,6,1,4,5,2,2,2,3,8,2,2,3,2,2,2,2,6,3,3,3,2,2,5
ESS9e03_1,9,3.1,17.02.2021,56456,DE,0.9994662404060364,0.7674376368522644,3.0373449325561523,4,8,5,6,6,5,6,1,7,4,2,2,1949,69,7,720,2,1,4,6,1,4,4,2,4,2,5,3,1,2,3,4,4,4,3,1,1,5,3
ESS9e03_1,9,3.1,17.02.2021,56544,DE,0.9994662404060364,1.225226879119873,3.0373449325561523,4,5,7,2,2,3,3,1,6,3,3,1,1999,19,2,213,1,2,3,3,2,4,2,3,5,1,2,2,2,2,3,1,3,4,3,1,3,5,1
ESS9e03_1,9,3.1,17.02.2021,56562,DE,0.9994662404060364,1.2898223400115967,3.0373449325561523,7,6,6,6,6,7,6,1,4,3,3,2,1970,49,5,422,6,2,3,5,3,5,1,1,5,2,3,1,1,1,2,1,4,2,4,1,1,1,4
ESS9e03_1,9,3.1,17.02.2021,56602,DE,0.9994662404060364,0.8422838449478149,3.0373449325561523,0,3,3,0,1,0,0,1,2,1,3,2,1980,39,7,720,2,4,3,3,2,2,1,2,3,2,2,3,3,2,4,1,4,3,4,3,1,2,3
